GrLivArea,GarageArea,LotArea,YearBuilt,YrSold
1710,548,8450,2003,2008
1262,460,9600,1976,2007
1786,608,11250,2001,2008
1717,642,9550,1915,2006
2198,836,14260,2000,2008
1362,480,14115,1993,2009
1694,636,10084,2004,2007
2090,484,10382,1973,2009
1774,468,6120,1931,2008
1077,205,7420,1939,2008
1040,384,11200,1965,2008
2324,736,11924,2005,2006
912,352,12968,1962,2008
1494,840,10652,2006,2007
1253,352,10920,1960,2008
854,576,6120,1929,2007
1004,480,11241,1970,2010
1296,516,10791,1967,2006
1114,576,13695,2004,2008
1339,294,7560,1958,2009
2376,853,14215,2005,2006
1108,280,7449,1930,2007
1795,534,9742,2002,2008
1060,572,4224,1976,2007
1060,270,8246,1968,2010
1600,890,14230,2007,2009
900,576,7200,1951,2010
1704,772,11478,2007,2010
1600,319,16321,1957,2006
520,240,6324,1927,2008
1317,250,8500,1920,2008
1228,271,8544,1966,2008
1234,484,11049,2007,2008
1700,447,10552,1959,2010
1561,556,7313,2005,2007
2452,691,13418,2004,2006
1097,672,10859,1994,2009
1297,498,8532,1954,2009
1057,246,7922,1953,2010
1152,0,6040,1955,2008
1324,440,8658,1965,2006
1328,308,16905,1959,2007
884,504,9180,1983,2007
938,308,9200,1975,2008
1150,300,7945,1959,2006
1752,576,7658,2005,2010
2149,670,12822,2003,2009
1656,826,11096,2006,2007
1452,0,4456,1920,2009
955,386,7742,1966,2007
1470,388,13869,1997,2007
1176,528,6240,1934,2006
816,516,8472,1963,2010
1842,894,50271,1981,2006
1360,572,7134,1955,2007
1425,576,10175,1964,2008
1739,480,2645,1999,2009
1720,565,11645,2004,2006
2945,641,13682,2006,2006
780,352,7200,1972,2008
1158,576,13072,2004,2006
1111,288,7200,1920,2007
1370,484,6442,2006,2007
1710,480,10300,1921,2010
2034,645,9375,1997,2009
2473,852,9591,2004,2007
2207,576,19900,1970,2010
1479,558,10665,2003,2007
747,220,4608,1945,2010
2287,667,15593,1953,2006
2223,516,13651,1973,2007
845,360,7599,1982,2007
1718,427,10141,1998,2009
1086,490,10200,1954,2010
1605,379,5790,1915,2010
988,297,1596,1973,2009
952,283,8475,1956,2008
1285,240,8635,1948,2008
1768,0,10778,1968,2010
1230,440,10440,1910,2009
2142,509,13000,1968,2009
1337,405,4500,1998,2006
1563,758,10206,2007,2008
1065,461,8892,1960,2007
1474,400,8530,1995,2009
2417,462,16059,1991,2006
1560,400,11911,2005,2009
1224,528,3951,2009,2009
1526,0,8470,1915,2009
990,0,8070,1994,2007
1040,420,7200,1950,2006
1235,480,8500,1961,2006
964,432,13360,1921,2009
2291,506,7200,1910,2007
1786,684,9337,1997,2007
1470,420,9765,1993,2009
1588,472,10264,1999,2006
960,432,10921,1965,2007
835,366,10625,1920,2010
1225,0,9320,1959,2010
1610,480,10603,1977,2010
1732,476,9206,1985,2010
1535,410,7018,1979,2009
1226,740,10402,2009,2010
1818,240,7758,1931,2007
1992,648,9375,2003,2008
1047,273,10800,1885,2007
789,250,6000,1948,2008
1517,0,8500,1919,2007
1844,546,11751,1977,2010
1855,325,9525,1954,2006
1430,400,7750,2000,2010
2696,792,9965,2007,2007
2259,450,21000,1953,2007
2320,180,7259,1945,2007
1458,440,3230,1999,2007
1092,288,11616,1962,2009
1125,430,8536,2006,2007
3222,594,12376,1990,2010
1456,390,8461,2005,2006
988,540,21453,1969,2006
1123,264,6060,1939,2007
1080,288,9464,1958,2008
1199,530,7892,1993,2008
1586,435,17043,1979,2009
754,0,6780,1935,2006
958,440,4928,1976,2007
840,0,4388,1930,2007
1348,453,7590,1966,2006
1053,750,8973,1958,2006
2157,487,14200,1966,2006
2054,390,12224,2000,2009
1327,624,7388,1959,2007
1296,471,6853,2001,2009
1721,440,10335,1968,2006
1682,530,10400,1970,2008
1214,318,10355,1967,2007
1959,766,11070,1988,2006
1852,660,9066,1999,2008
1764,470,15426,1997,2009
864,0,10500,1971,2010
1734,660,11645,2005,2006
1385,720,8520,1952,2010
1501,577,10335,1999,2009
1728,504,9100,1963,2006
1709,380,2522,2004,2006
875,180,6120,1931,2009
2035,434,9505,2001,2010
1080,0,7500,2004,2008
1344,240,6240,1936,2006
969,440,10356,1975,2007
1710,866,13891,2007,2008
1993,495,14803,1971,2006
1252,564,13500,1960,2008
1200,312,11340,1923,2006
1096,0,9600,1924,2008
1040,625,7200,1950,2006
1968,680,12003,2009,2010
1947,678,12552,2004,2010
2462,576,19378,2005,2006
1232,516,11120,1984,2008
2668,726,13688,2003,2008
1541,532,12182,2005,2010
882,0,5500,1956,2007
1616,216,5400,1926,2007
1355,0,10106,1940,2008
1867,303,10708,1955,2009
2161,789,10562,2007,2007
1720,440,8244,2004,2007
1707,511,16669,1981,2006
1382,660,12358,1941,2007
1656,528,31770,1960,2010
1767,504,5306,1987,2006
1362,504,10197,1961,2008
1651,616,12416,1986,2008
2158,576,12615,1950,2007
2060,521,10029,1988,2007
1920,451,13650,1958,2006
2234,1166,17423,2008,2009
968,480,8520,1923,2007
1525,440,2117,2000,2007
1802,216,7588,1920,2006
1340,252,9060,1957,2007
2082,484,11426,2003,2008
1252,576,7438,1908,2006
3608,840,22950,1892,2006
1217,497,9947,1990,2009
1656,180,10410,1916,2009
1224,528,7018,1979,2009
1593,682,4923,2001,2008
2727,440,10570,1932,2007
1479,484,7472,1972,2007
1431,666,9017,1999,2009
1709,380,2522,2004,2006
864,352,7180,1972,2008
1456,440,2280,1976,2009
1726,786,9416,2007,2007
3112,795,25419,1918,2006
2229,0,5520,1912,2009
1713,856,9591,2004,2009
1121,440,8546,2003,2010
1279,473,10125,1977,2008
1310,398,7000,1924,2006
848,420,4438,2004,2008
1284,240,3500,1947,2009
1442,500,11851,1990,2009
1696,349,13673,1962,2007
1100,312,12493,1960,2008
2062,454,14364,1988,2007
1092,504,8250,1964,2008
864,0,5604,1925,2008
1212,460,10420,2009,2010
1852,644,8640,2009,2009
990,576,13568,1995,2006
1392,299,10900,1977,2010
1236,447,10011,1957,2006
1436,484,8450,2004,2008
1328,210,9906,1925,2006
1954,431,15660,1939,2008
1248,438,3010,2005,2006
1498,675,8990,2006,2006
2267,390,8068,2002,2009
1552,434,11475,1975,2006
864,576,10500,1971,2009
2392,968,13472,2003,2009
1302,280,1680,1971,2009
2520,721,9950,1995,2007
987,280,1869,1970,2008
912,336,8521,1967,2010
1555,430,3182,2005,2009
1194,312,8760,1959,2010
2794,810,15138,1995,2009
987,288,1680,1972,2006
894,308,10650,1976,2010
1960,440,7851,2002,2010
987,264,1680,1971,2008
1414,494,8773,2004,2010
1744,457,9453,1993,2010
1694,818,12030,2007,2007
1487,220,8741,1945,2010
1566,750,9000,2008,2010
866,0,3880,1945,2007
1440,352,5000,1900,2006
1217,288,10762,1980,2009
2110,463,8880,1994,2010
1872,604,10400,1988,2006
1928,440,9142,1910,2006
1375,451,11310,1954,2006
1668,500,11317,2003,2007
2144,389,159000,1958,2007
1306,0,5350,1940,2010
1625,538,4750,2006,2007
1640,520,8366,2004,2008
1302,309,9350,1964,2007
1314,294,8400,1957,2010
2291,429,8738,1999,2006
1728,673,8791,2003,2008
1604,660,8814,2006,2009
1792,564,12435,2001,2008
882,308,12702,1956,2008
1382,884,19296,1962,2009
2574,868,9588,2007,2007
1212,492,8471,1977,2006
1316,484,5500,1929,2010
764,504,5232,1925,2008
1422,576,12090,1981,2008
1511,413,11207,1997,2006
2192,240,8400,1939,2008
778,924,6900,1940,2008
1113,504,7917,1976,2007
1939,1053,10728,2006,2006
1363,439,39104,1954,2008
2270,671,11764,1999,2010
1632,338,9600,1958,2009
816,264,8314,1982,2007
1548,672,7264,1925,2009
1560,573,9196,2003,2010
864,400,19138,1951,2010
2121,732,14450,2006,2007
2022,505,10005,1977,2008
1982,575,11287,1989,2007
1262,572,7200,2006,2006
1314,626,5063,2007,2009
1468,898,9612,2008,2009
